id,name,rating
1970324837384183,Grand Beyazit Hotel,
1970324837384184,Aprilis Gold Hotel,
1970324837384185,Martinenz Hotel,
1970324837384186,Golden Horn Istanbul Hotel,
1970324837384187,"Royan Hotel Hagia Sophia Istanbul, a member of Radisson Individuals",
1970324837384188,Sorriso Hotel,
1970324837384189,Cronton Design Hotel,
1970324837384190,Rixos Premium Bodrum,
1970324837384191,Ottoman Hotel Park - Special Class,
1970324837384192,Dundar Hotel & SPA,
1970324837384193,Mirilayon Hotel,
1970324837384194,Raymond Hotel,
1970324837384195,Hotel Levni İstanbul - Özel Sınıf,
1970324837384196,Hotel Olimpiyat,
1970324837384197,Mercure Istanbul Sirkeci,
1970324837384198,Palde Hotel & SPA,
1970324837384199,Miss Istanbul Hotel & SPA,
1970324837384200,Hotel Buyuk Hamit,
1970324837384201,Oran Hotel,
1970324837384202,Catch Hotel Sultanahmet - Ozel Sinif,
1970324837384203,Almina Inn Hotel,
1970324837384204,Danis Hotel Istanbul Old City,
1970324837384205,Manesol Old City Bosphorus,
1970324837384206,Lady Diana Hotel,
1970324837384207,Klas Hotel,
1970324837384208,Seres Hotel,
1970324837384209,Dosso Dossi Hotels & Spa Downtown,
1970324837384210,Amiral Palace Hotel Boutique Class,
1970324837384211,The Byzantium Hotel & Suites - Special Class,
1970324837384212,Sultan House,
1970324837384213,Sultanhan Hotel - Special Class,
1970324837384214,Antea Palace Hotel & SPA,
1970324837384215,Sunlight Hotel Istanbul,
1970324837384216,Ottoman Hotel Imperial - Special Class,
1970324837384217,Blue Istanbul Hotel - Ozel Sinif,
1970324837384218,Skalion Hotel & SPA,
1970324837384219,Dosso Dossi Hotels Old City,
1970324837384220,Atlantis Royal Hotel,
1970324837384221,"Hagia Sofia Mansions Istanbul, Curio Collection by Hilton",
1970324837384222,Ramada by Wyndham Istanbul Old City,
1970324837384223,Piya Sport Hotel,
1970324837384224,Yigitalp Hotel,
1970324837384225,Wyndham Istanbul Old City,
1970324837384226,May Hotel Istanbul,
1970324837384227,Grand Ant Hotel,
1970324837384228,Aprilis Deluxe Hotel,
1970324837384229,California Hotel,
1970324837384230,"Orient Occident Hotel Istanbul, Autograph Collection",
1970324837384231,Ramada Plaza By Wyndham Istanbul Sultanahmet ,
1970324837384232,Biz Cevahir Hotel Sultanahmet,
1970324837384233,"Orientbank Hotel Istanbul, Autograph Collection",
1970324837384235,Seven Hills Palace & Spa,
1970324837384236,Vogue Hotel Supreme Istanbul,
1970324837384237,Premist Hotels Sultanahmet,
1970324837384238,Innova Sultanahmet Istanbul,
1970324837384239,Legacy Ottoman Hotel,
1970324837384240,Hotel Sultania,
1970324837384241,The And Hotel Istanbul - Special Class,
1970324837384242,"Crowne Plaza Istanbul - Old City, Bir IHG Oteli",
1970324837384243,Golden Horn Hotel - Special Class,
1970324837384244,Orka Royal Hotel & Spa,
1970324837384245,Best Western Hotel Empire Palace - Ozel Sinif,
1970324837384246,Hotel Golden Crown,
1970324837384247,Orient Express Hotel,
1970324837384248,Graziella Gold Hotel,
1970324837384249,Beyazit Palace Hotel,
1970324837384250,DoubleTree by Hilton Hotel Istanbul - Sirkeci,
1970324837384251,"Holiday Inn İstanbul City, Bir IHG Oteli",
1970324837384252,Hotel Ipek Palas,
1970324837384253,Amber Hotel - Ozel Sinif,
1970324837384254,Almina Hotel - Special Class,
1970324837384255,Hotel Santa Sophia,
1970324837384256,Grand Yavuz Hotel,
1970324837384257,Romance Istanbul Hotel,
1970324837384258,Hotel Yasmak Sultan,
1970324837384259,Hotel Saint Sophia,
1970324837384260,Aprilis Hotel - Özel Sınıf,
1970324837384261,Radisson Hotel President Old Town Istanbul,
1970324837384262,Radisson Hotel Istanbul Sultanahmet,
1970324837384263,Deluxe Golden Horn Sultanahmet Hotel,
1970324837384264,Radisson Residences Avrupa TEM Istanbul,
1970324837384265,Doubletree by Hilton Istanbul Moda,
1970324837384266,Wyndham Grand Istanbul Kalamis Marina Hotel,
1970324837384267,Hilton Istanbul Kozyatagi,
1970324837384268,"Holiday Inn Istanbul - Kadikoy, Bir IHG Oteli",
1970324837384269,A11 Hotel,
1970324837384270,A11 Exclusive Hotel,
1970324837384271,Pasaport Pier Istanbul,
1970324837384272,Broyt Hotel,
1970324837384273,"Four Points by Sheraton Istanbul, Kagithane",
1970324837384274,Movenpick Living Camlivadi,
1970324837384275,Ibis Istanbul West,
1970324837384276,Ramada Encore by Wyndham Istanbul Basin Express,
1970324837384277,Park Inn by Radisson Istanbul Ataturk Airport,
1970324837384278,Elite World Grand Istanbul Basın Ekspres Hotel,
1970324837384279,Elite World Istanbul Florya Hotel,
1970324837384280,Tango Arjaan By Rotana,
1970324837384281,Burgu Arjaan By Rotana,
1970324837384282,Elite World Grand Istanbul Kucukyali Hotel,
1970324837384283,Miracle Istanbul Asia Airport Hotel & Spa,
1970324837384284,The Green Park Pendik,
1970324837384285,Hilton Istanbul Maslak,
1970324837384286,Movenpick Living Saklivadi,
1970324837384287,"Radisson Collection Hotel, Vadistanbul",
1970324837384288,Radisson Residences Vadistanbul,
1970324837384289,Carina Park Suites Nisantasi,
1970324837384290,Walton Sisli Residence,
1970324837384291,"Crowne Plaza Istanbul - Harbiye, Bir IHG Oteli",
1970324837384292,"Radisson Blu Hotel, Istanbul Sisli",
1970324837384293,Delta Hotels by Marriott Istanbul Levent,
1970324837384294,Avantgarde Hotel Sisli,
1970324837384295,Melas Hotel Istanbul,
1970324837384296,Holiday Inn Istanbul - Sisli,
1970324837384297,Lasagrada Hotel Istanbul,
1970324837384298,Buke Hotel Sisli,
1970324837384299,Hotel Bosfora Plus,
1970324837384300,The Westin Istanbul Nisantasi,
1970324837384301,The Mill Hotel Bomonti,
1970324837384302,Princely Suites,
1970324837384303,ibis Istanbul Sisli,
1970324837384304,Divan Istanbul,
1970324837384305,Avantgarde Levent Hotel - Boutique Class,
1970324837384306,Hilton Istanbul Bomonti Hotel & Conference Center,
1970324837384307,Mercure Istanbul Bomonti,
1970324837384308,Ramada Plaza by Wyndham Istanbul Sehir Merkezi Yalnizca Yetiskinler,
1970324837384309,The Elysium Taksim Special Class,
1970324837384310,Titanic Comfort Sisli,
1970324837384311,Fairmont Quasar Istanbul,
1970324837384312,The Marmara Sisli,
1970324837384313,Mare Park Hotel,
1970324837384314,Arts Hotel Istanbul - Special Class,
1970324837384315,Febor İstanbul Bomonti Hotel & Spa,
1970324837384316,Jaff Hotels Nisantasi,
1970324837384317,FEBOR PARK HOTEL,
1970324837384318,The Stay Nisantasi,
1970324837384319,Hilton Istanbul Bosphorus,
1970324837384320,Icon Hotel Taksim,
1970324837384321,Point Hotel Barbaros,
1970324837384322,Hotel Favori,
1970324837384323,Ibis Istanbul Tuzla Hotel,
1970324837384324,Doubletree by Hilton İstanbul Umraniye,
1970324837384325,Park inn By Radisson Istanbul Atasehir,
1970324837384326,Bof Hotels Business,
1970324837384327,Bof Hotels Ceo Suites Atasehir,
1970324837384328,Mercure Istanbul Altunizade,
1970324837384329,Aspera Hotel Altunizade,
1970324837384330,Uranus İstanbul Topkapı,
1970324837384331,Novotel Istanbul Zeytinburnu,
1970324837384332,Ibis Istanbul Zeytinburnu,
1970324837384333,Ottoperla Hotel,
1970324837384334,Radisson Blu Hotel Istanbul Ottomare,
1970324837384335,Grand Makel Hotel Topkapi,
1970324837384336,Balcova Termal Hotel,
1970324837384337,Ramada Encore by Wyndham Izmir,
1970324837384338,Wyndham Grand İzmir Özdilek Thermal & Spa,
1970324837384339,Kamer Suites & Hotels,
1970324837384340,Z Otel Cesme,
1970324837384341,Kanuni Kervansaray Historical Hotel,
1970324837384342,Alacati Cadde 75 Hotel,
1970324837384343,Alacati Sorf Hotel,
1970324837384344,Provence Mansion Alacati,
1970324837384345,Viento Hotel Alacati,
1970324837384346,Babaylon Hotel,
1970324837384347,"Reges, A Luxury Collection Resort & Spa",
1970324837384348,Boyalik Beach Hotel & SPA,
1970324837384349,Pirlanta Boutique Hotel,
1970324837384350,Piril Hotel Thermal & Beauty Spa,
1970324837384351,Grand Hotel Ontur Cesme,
1970324837384352,Suess Alacati,
1970324837384353,Biblos Beach Resort Alacati,
1970324837384354,Peremere Alacati Hotel,
1970324837384355,Altin Yunus Resort & Thermal Hotel,
1970324837384356,Radisson Blu Resort & Spa Cesme,
1970324837384357,Ilica Hotel Spa & Wellness Thermal Resort,
1970324837384358,DoubleTree By Hilton Izmir Airport,
1970324837384359,Svalinn Hotel Izmir,
1970324837384360,Best Western Premier Karsiyaka,
1970324837384361,Hotel 86 By Katipoglu,
1970324837384362,Zeniva Hotel,
1970324837384363,Swissotel Buyuk Efes Izmir,
1970324837384364,Movenpick Hotel Izmir,
1970324837384365,Ramada Plaza By Wyndham Izmir,
1970324837384366,Life Corner Hotel,
1970324837384367,DoubleTree by Hilton Izmir Alsancak,
1970324837384368,Oglakcioglu Park Boutique Hotel,
1970324837384369,Ontur Hotel Izmir,
1970324837384370,Ismira Hotel,
1970324837384371,Kordon Hotel Pasaport,
1970324837384372,Kordon Hotel Cankaya,
1970324837384373,Grand Corner Boutique Hotel,
1970324837384374,Marla Hotel,
1970324837384375,Notion Kesre Beach Hotel & Spa,
1970324837384376,Aria Claros Beach & Spa Resort,
1970324837384377,Club Yali Hotels & Resort,
1970324837384378,Club Cactus Paradise,
1970324837384379,Grand Efe Hotel,
1970324837384380,Club Resort Atlantis,
1970324837384381,Maya Bistro Beach Hotel,
1970324837384382,Richmond Ephesus Resort,
1970324837384383,Hedef Beyt Hotel Resort & Spa,
1970324837384384,Korumar Ephesus Beach & Spa Resort,
1970324837384385,BN Hotel Termal & Spa,
1970324837384386,Be Premium Bodrum,
1970324837384387,La Blanche Island Bodrum,
1970324837384388,DUJA Bodrum,
1970324837384389,Bodrium Hotel & SPA,
1970324837384390,Jasmin Beach Hotel,
1970324837384391,Royal Asarlik Beach Hotel & Spa,
1970324837384392,Selectum Colours Bodrum,
1970324837384393,Parkim Ayaz,
1970324837384394,Jasmin Elite Residence,
1970324837384395,Selectum Luxury Door’A,
1970324837384396,Cactus Fleur Beach Club,
1970324837384397,Hotel Samara,
1970324837384398,Diamond of Bodrum by Loxia Hotels,
1970324837384399,Cape Bodrum Beach Luxury Resort,
1970324837384400,Mivara Luxury Resort & Spa,
1970324837384401,Baia Bodrum,
1970324837384402,Hillstone Bodrum Hotel & Spa,
1970324837384403,Titanic Luxury Collection Bodrum,
1970324837384404,No:81 Hotel,
1970324837384405,Kuum Hotel & Spa Bodrum,
1970324837384406,Vogue Hotel Supreme Bodrum,
1970324837384407,Moyo Luxury Boutique Hotel & Beach,
1970324837384408,Voyage Torba,
1970324837384409,La Quinta By Wyndham Bodrum,
1970324837384410,Salmakis Resort & Spa,
1970324837384411,Charm Beach Hotel,
1970324837384412,Yelken Mandalinci SPA & Wellness,
1970324837384413,Arin Resort Bodrum,
1970324837384414,Azure By Yelken,
1970324837384415,Sianji Well-Being Resort,
1970324837384416,Golden Age Yalıkavak,
1970324837384417,Sirene Luxury Hotel Bodrum,
1970324837384418,Bodrum Holiday Resort & SPA,
1970324837384419,Swissotel Resort Bodrum Beach,
1970324837384420,Root Redrock Yalikavak,
1970324837384421,Toka Bodrum Hotel & Beach Club,
1970324837384422,Azka Hotel Bodrum,
1970324837384423,Mirada Exclusive Bodrum,
1970324837384424,Club & Hotel Letoonia,
1970324837384425,Alesta Yacht Hotel,
1970324837384426,Orka Sunlife Resort & Spa,
1970324837384427,Lykia Botanika Beach & Fun Club,
1970324837384428,Liberty Lykia Adults Only +16,
1970324837384429,Sundia by Liberty Oludeniz,
1970324837384430,Sundia By Liberty Suncity,
1970324837384431,Liberty Fabay,
1970324837384432,Rixos Premium Gocek,
1970324837384433,Club Tuana Fethiye,
1970324837384434,Orka Lotus Beach,
1970324837384435,Elite World Marmaris Hotel,
1970324837384436,Grand Yazici Club Marmaris Palace,
1970324837384437,Marti La Perla,
1970324837384438,Marti Resort Marmaris,
1970324837384439,Mirage World Hotel,
1970324837384440,Turunc Resort Hotel,
1970324837384441,Turunc Premium Hotel,
1970324837384442,Baraka Hisaronu,
1970324837384443,Grand Yazici Club Turban,
1970324837384444,Casa De Maris Spa & Resort Hotel,
1970324837384445,Emre Hotel,
1970324837384446,Blue Bay Platinum Hotel,
1970324837384447,Lalila Blue Suites,
1970324837384448,Marti Hemithea Hotel,
1970324837384449,Costa Mare Suites,
1970324837384450,Hilton Dalaman Sarigerme Resort & Spa,
1970324837384451,XL Hotel Sarigerme,
