id,name,rating,hotel_id
1970324837384032,Granada Luxury Belek,,414
1970324837384033,Gloria Golf Resort,,843
1970324837384034,Gloria Verde Resort,,1161
1970324837384035,Gloria Serenity Resort,,2152
1970324837384036,Asteria Zeus Didim,,6550
1970324837384037,Esra Family Suites,,157
1970324837384038,Garden Of Sun Hotel,,191
1970324837384039,Tuntas Beach Hotel Altinkum,,117
1970324837384040,Maxeria Blue Didyma Hotel,,477
1970324837384041,Long Beach Club Nature,,174
1970324837384042,Duja Didim,,2109458
1970324837384043,Anda Barut Collection ,,2109529
1970324837384044,Batihan Vadi Hotel,,2109453
1970324837384045,Liberty Golf & Resort Kusadasi,,6221
1970324837384046,Eliada Hotel,,302
1970324837384047,Akbulut Hotel & Spa,,257
1970324837384048,Faustina Hotel & Spa,,12
1970324837384049,By Karaaslan Inn Hotel,,13
1970324837384050,DoubleTree by Hilton Kusadasi,,301
1970324837384051,Ramada Resort By Wyndham Kusadasi & Golf,,357
1970324837384052,Ramada Hotel & Suites by Wyndham Kusadasi,,395
1970324837384053,Korumar Hotel De Luxe,,421
1970324837384054,Kustur Club Holiday Village,,15
1970324837384055,Pine Bay Holiday Resort,,17
1970324837384056,Tusan Beach Resort,,19
1970324837384057,Derici Hotel,,97
1970324837384058,Palm Wings Ephesus Hotel,,76
1970324837384059,Aqua Fantasy Aquapark Hotel & Spa,,178
1970324837384060,Charisma De Luxe Hotel,,194
1970324837384061,Atlantique Holiday Club,,9
1970324837384062,Marti Beach Hotel,,303
1970324837384063,Ponz Hotel Kusadasi,,1705
1970324837384064,Asena Hotel,,985
1970324837384065,The Grand Blue Sky Hotel,,10
1970324837384066,Infinity By Yelken Aquapark & Resort,,14
1970324837384067,Le Bleu Hotel & Resort,,184
1970324837384068,Palmin Hotel,,253
1970324837384069,Ephesia Resort Hotel,,11
1970324837384070,Ephesia Holiday Beach Club,,140
1970324837384071,Unique Life Style Hotel,,486
1970324837384072,Batihan Beach Resort & Spa,,602
1970324837384073,Arora Hotel,,2137
1970324837384074,Signature Blue Resort,,409
1970324837384075,Omer Prime Holiday Resort,,16
1970324837384076,Olivera Resort Hotel,,107
1970324837384077,Grand Hotel Temizel,,2
1970324837384078,Palm Court Suites Ayvalik,,1278
